단어,점수
바라보이다,0
바라뵈다,0
바라지다,0
바란,0
바람,0
바람나다,-1
바람맞다,-1
바래다주다,0
바로잡다,1
바로잡히다,1
바르나,0
바르다,0
바름,0
바삭대다,0
바수다,0
바스라지다,0
바스락대다,0
바스러지다,0
바치다,0
박다,0
박수,1
박아,0
박자,0
박지르다,0
박차다,0
박히다,0
반기다,0
반작이다,0
반짝거리다,2
반짝대다,2
반짝이다,2
반환받다,0
받다,0
받아들이다,0
받치다,
발가벗기다,-1
발가벗다,0
발기다,0
발라,0
발리,0
발리다,0
발발대다,0
발버둥치다,-2
밝다,2
밝아지다,2
밝혀내다,0
밝혀지다,0
밝히다,
밟다,0
밤새,0
밤새다,0
밤새우다,0
밧다,0
밧줄,0
배곯다,0
배기,0
배다,0
배려,2
배수,0
배우다,0
배워주다,0
배재,0
배치,
밸리,0
뱉다,-1
버둥대다,-1
버럭거리다,-2
버려지다,-2
버리다,0
버벅대다,-1
버정이다,0
버티고,0
버티다,0
벅적대다,0
벅적이다,0
번득이다,0
번뜩이다,0
번쩍이다,1
벋다,0
벋치다,0
벌거벗기다,-1
벌다,0
벌떡이다,0
벌렁대다,0
벌룽대다,0
벌름대다,0
벌리다,0
벌린,0
벌어지다,0
벌이,0
벌이다,0
벌주다,0
벌컥거리다,0
벌컥대다,0
법석이다,-1
벗겨지다,-1
벗기다,0
벗다,0
벗어나다,0
벗어지다,0
베다,-1
베사,0
베이,0
베인,0
베풀다,0
벤치,0
변치않다,0
병들다,-2
보고,0
보고오다,0
보구,0
보기,0
보나,0
보내다,0
보내오다,0
보다,0
보다는,0
보다도,0
보다만,0
보다야,0
보단,0
보답,0
보대끼다,0
보더,0
보도,0
보듬다,2
보라,0
보로,0
보살피다,2
보수,0
보시,0
보신,0
보아,0
보여주다,0
보이,0
보이다,0
보이시,0
보이지,0
보일러,0
보임,0
보전,0
보지,0
보채다,0
복받치다,0
복작대다,0
복작이다,0
복타다,0
볶다,0
볶이다,0
본뜨다,0
본받다,0
본보다,0
볼록이다,0
봄타다,0
뵈다,0
뵙다,0
부각시키다,0
부글대다,-2
부닥치다,-1
부대끼다,-1
부둥켜안다,0
부둥키다,0
부들대다,0
부딛히다,-1
부딪치다,-1
부딪히다,-1
부라리다,-2
부러,0
부러지다,0
부르다,0
부르짖다,-1
부르트다,-1
부릅뜨다,-2
부리,0
부리고,-1
부리다,-1
부림,-1
